,Players,club,league,age,nationality,Position,overall,potential,aggression,standing_tackle,sliding_tackle,marking,diver_trait,work_rate_def,tackling_speciality,argues_with_officials_trait,Total Apps,Total Yellows,Average Yellows/Game,Total Reds,Average Reds/Game,Total Conceded 1+,Average Conceded 1+
2313,Lukas Hinterseer,VfL Bochum,German 2. Bundesliga,26,Austria,Forward,73,76,57,33,31,27,False,Medium,False,False,56.0,5.0,0.08928571428571429,0.0,0.0,0.0,0.0
2314,Lukas Hradecky,Eintracht Frankfurt,German Bundesliga,27,Finland,Goalkeeper,81,83,31,10,13,11,False,Medium,False,False,67.0,2.0,0.029850746268656716,1.0,0.014925373134328358,46.0,0.6865671641791045
2317,Lukas Kruse,Holstein Kiel,German 2. Bundesliga,33,Germany,Goalkeeper,68,68,35,13,14,13,False,Medium,False,False,34.0,0.0,0.0,0.0,0.0,37.0,1.088235294117647
2318,Lukas Kubler,SC Freiburg,German Bundesliga,24,Germany,Defender,69,72,67,72,73,69,False,Medium,False,False,16.0,1.0,0.0625,0.0,0.0,13.0,0.8125
2319,Lukas Podolski,Vissel Kobe,Japanese J1 League,32,Germany,Forward,80,80,70,39,39,33,False,Low,False,False,53.0,1.0,0.018867924528301886,0.0,0.0,0.0,0.0
2320,Lukas Pokorny,Montpellier Herault SC,French Ligue 1,23,Czech Republic,Defender,73,79,73,73,70,72,False,High,False,False,13.0,2.0,0.15384615384615385,0.0,0.0,11.0,0.8461538461538461
2321,Lukas Rupp,TSG 1899 Hoffenheim,German Bundesliga,26,Germany,Midfielder,76,77,63,72,69,63,False,High,False,False,105.0,10.0,0.09523809523809523,0.0,0.0,0.0,0.0
2322,Lukas Schmitz,Fortuna Dusseldorf,German 2. Bundesliga,28,Germany,Midfielder,70,70,78,71,71,65,False,Medium,False,False,26.0,4.0,0.15384615384615385,0.0,0.0,0.0,0.0
2330,Luke Shaw,Manchester United,English Premier League,21,England,Defender,79,84,74,79,79,74,False,Medium,False,False,92.0,10.0,0.10869565217391304,0.0,0.0,39.0,0.42391304347826086
2331,Luso,SD Huesca,Spanish Segunda Division,32,Spain,Midfielder,72,72,81,79,71,59,False,Medium,False,False,18.0,4.0,0.2222222222222222,0.0,0.0,0.0,0.0
2332,Luuk De Jong,PSV,Holland Eredivisie,26,Netherlands,Forward,76,77,42,40,37,39,False,Medium,False,False,23.0,3.0,0.13043478260869565,0.0,0.0,0.0,0.0
2333,Lynden Gooch,Sunderland,English Championship,21,United States,Midfielder,66,75,76,54,50,47,False,Medium,False,False,11.0,3.0,0.2727272727272727,0.0,0.0,0.0,0.0
2334,Lys Mousset,Bournemouth,English Premier League,21,France,Midfielder,69,76,33,15,17,14,False,Medium,False,False,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2335,M'Baye Niang,Torino,Italian Serie A,22,France,Forward,78,85,50,24,20,16,False,Medium,False,False,116.0,11.0,0.09482758620689655,0.0,0.0,0.0,0.0
2336,Maarten Stekelenburg,Everton,English Premier League,34,Netherlands,Goalkeeper,75,75,41,15,14,18,False,Medium,False,False,75.0,3.0,0.04,0.0,0.0,59.0,0.7866666666666666
2337,Maciej Rybus,Lokomotiv Moscow,Russian Premier League,27,Poland,Midfielder,72,72,74,68,68,65,False,Medium,False,False,19.0,1.0,0.05263157894736842,0.0,0.0,0.0,0.0
2339,Mahmoud Dahoud,Borussia Dortmund,German Bundesliga,21,Germany,Midfielder,79,87,68,65,61,63,False,Medium,False,False,61.0,7.0,0.11475409836065574,0.0,0.0,0.0,0.0
2341,Makoto Hasebe,Eintracht Frankfurt,German Bundesliga,33,Japan,Midfielder,77,77,73,78,77,77,False,Medium,False,False,124.0,21.0,0.1693548387096774,1.0,0.008064516129032258,0.0,0.0
2343,Malang Sarr,OGC Nice,French Ligue 1,18,France,Defender,75,88,70,77,73,74,False,High,False,False,27.0,4.0,0.14814814814814814,0.0,0.0,8.0,0.2962962962962963
2346,Mamadou Sakho,Crystal Palace,English Premier League,27,France,Defender,81,82,86,83,79,78,False,High,False,False,91.0,5.0,0.054945054945054944,1.0,0.01098901098901099,47.0,0.5164835164835165
2347,Mamadou Samassa,ES Troyes AC,French Ligue 1,27,Mali,Forward,74,75,43,11,12,12,False,Medium,False,False,12.0,3.0,0.25,0.0,0.0,0.0,0.0
2348,Mamadou Sylla,KAA Gent,Belgian First Division A,23,Senegal,Forward,73,79,67,42,37,27,False,Medium,False,False,14.0,3.0,0.21428571428571427,0.0,0.0,0.0,0.0
2350,Mame Biram Diouf,Stoke City,English Premier League,29,Senegal,Forward,77,77,77,64,58,64,False,Medium,False,False,134.0,22.0,0.16417910447761194,0.0,0.0,0.0,0.0
2351,Mame Thiam,Juventus,Italian Serie A,24,Senegal,Forward,72,76,62,20,22,11,False,Medium,False,False,15.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0
2352,Mana Dembele,Le Havre AC,French Ligue 2,28,Mali,Forward,66,66,37,12,13,13,False,Low,False,False,22.0,3.0,0.13636363636363635,0.0,0.0,0.0,0.0
2353,Manolo Gabbiadini,Southampton,English Premier League,25,Italy,Forward,79,83,57,24,20,18,False,Low,False,False,144.0,21.0,0.14583333333333334,1.0,0.006944444444444444,0.0,0.0
2356,Manu Del Moral,CD Numancia,Spanish Segunda Division,33,Spain,Forward,72,72,28,35,25,35,False,Low,False,False,74.0,7.0,0.0945945945945946,0.0,0.0,0.0,0.0
2357,Manu Garcia,Deportivo Alaves,Spanish Primera Division,31,Spain,Midfielder,75,75,91,78,72,62,False,High,False,False,26.0,8.0,0.3076923076923077,0.0,0.0,0.0,0.0
2358,Manu Herrera,CA Osasuna,Spanish Segunda Division,35,Spain,Goalkeeper,70,70,37,13,14,11,False,Medium,False,False,42.0,5.0,0.11904761904761904,0.0,0.0,26.0,0.6190476190476191
2359,Manu Trigueros,Villarreal CF,Spanish Primera Division,25,Spain,Forward,82,85,68,73,58,53,False,Medium,False,False,137.0,23.0,0.1678832116788321,0.0,0.0,0.0,0.0
2361,Manuel Gulde,SC Freiburg,German Bundesliga,26,Germany,Defender,72,74,67,72,73,74,False,Medium,False,False,20.0,2.0,0.1,0.0,0.0,20.0,1.0
2362,Manuel Iturra,Necaxa,Mexican Liga MX,33,Chile,Midfielder,72,72,81,74,69,65,False,High,False,False,88.0,26.0,0.29545454545454547,0.0,0.0,0.0,0.0
2363,Manuel Lanzini,West Ham United,English Premier League,24,Argentina,Midfielder,81,87,47,32,25,20,False,Medium,False,False,61.0,12.0,0.19672131147540983,0.0,0.0,0.0,0.0
2364,Manuel Locatelli,Milan,Italian Serie A,19,Italy,Midfielder,74,86,68,72,68,64,False,Medium,False,False,26.0,8.0,0.3076923076923077,0.0,0.0,0.0,0.0
2365,Manuel Neuer,FC Bayern Munich,German Bundesliga,31,Germany,Goalkeeper,92,92,29,10,11,10,False,Medium,False,False,154.0,3.0,0.01948051948051948,0.0,0.0,19.0,0.12337662337662338
2367,Manuel Pasqual,Empoli,Italian Serie B,35,Italy,Defender,73,73,66,71,72,70,False,Medium,False,False,130.0,23.0,0.17692307692307693,0.0,0.0,75.0,0.5769230769230769
2368,Manuel Pucciarelli,Chievo Verona,Italian Serie A,26,Italy,Forward,73,76,60,32,28,22,False,High,False,False,104.0,6.0,0.057692307692307696,0.0,0.0,0.0,0.0
2369,Manuel Schmiedebach,Hannover 96,German Bundesliga,28,Germany,Defender,76,76,78,76,70,75,False,High,False,False,95.0,15.0,0.15789473684210525,1.0,0.010526315789473684,87.0,0.9157894736842105
2372,Marc Albrighton,Leicester City,English Premier League,27,England,Midfielder,77,77,73,50,45,41,False,High,False,False,117.0,16.0,0.13675213675213677,0.0,0.0,0.0,0.0
2373,Marc Andre ter Stegen,FC Barcelona,Spanish Primera Division,25,Germany,Goalkeeper,85,89,43,13,10,10,False,Medium,False,False,110.0,4.0,0.03636363636363636,0.0,0.0,55.0,0.5
2377,Marc Muniesa,Girona CF,Spanish Primera Division,25,Spain,Defender,76,82,78,78,77,74,False,Medium,False,False,57.0,7.0,0.12280701754385964,0.0,0.0,39.0,0.6842105263157895
2378,Marc Navarro,RCD Espanyol,Spanish Primera Division,21,Spain,Defender,71,80,59,72,68,69,False,Medium,False,False,12.0,0.0,0.0,0.0,0.0,2.0,0.16666666666666666
2379,Marc Pfitzner,Werder Bremen II,German 3. Liga,32,Germany,Midfielder,66,66,80,67,66,61,False,Medium,False,False,15.0,4.0,0.26666666666666666,0.0,0.0,0.0,0.0
2380,Marc Pugh,Bournemouth,English Premier League,30,England,Midfielder,73,73,60,44,31,30,False,Medium,False,False,47.0,2.0,0.0425531914893617,0.0,0.0,0.0,0.0
2381,Marc Roca,RCD Espanyol,Spanish Primera Division,20,Spain,Midfielder,74,85,69,75,73,70,False,Medium,False,False,25.0,4.0,0.16,0.0,0.0,0.0,0.0
2382,Marc Stendera,Eintracht Frankfurt,German Bundesliga,21,Germany,Midfielder,76,85,59,59,53,50,False,High,False,False,65.0,14.0,0.2153846153846154,0.0,0.0,0.0,0.0
2383,Marc Valiente,KAS Eupen,Belgian First Division A,30,Spain,Defender,71,71,64,73,70,72,False,Medium,False,False,56.0,9.0,0.16071428571428573,0.0,0.0,52.0,0.9285714285714286
2386,Marc Wilson,Sunderland,English Championship,29,Republic of Ireland,Defender,73,73,72,76,74,74,False,High,False,False,87.0,17.0,0.19540229885057472,1.0,0.011494252873563218,41.0,0.47126436781609193
2387,Marc-Antoine Fortune,Southend United,English League One,35,France,Forward,65,65,60,20,20,16,False,Medium,False,False,21.0,2.0,0.09523809523809523,1.0,0.047619047619047616,0.0,0.0
2389,Marc-Oliver Kempf,SC Freiburg,German Bundesliga,22,Germany,Defender,74,80,76,73,74,70,False,Medium,False,False,31.0,6.0,0.1935483870967742,0.0,0.0,31.0,1.0
2390,Marcal,Olympique Lyonnais,French Ligue 1,28,Brazil,Defender,77,77,70,74,75,71,False,Medium,False,False,31.0,4.0,0.12903225806451613,0.0,0.0,19.0,0.6129032258064516
2391,Marcel Buchel,Hellas Verona,Italian Serie A,26,Liechtenstein,Midfielder,73,76,72,62,62,52,False,Medium,False,False,43.0,15.0,0.3488372093023256,0.0,0.0,0.0,0.0
2392,Marcel Correia,1. FC Kaiserslautern,German 2. Bundesliga,28,Portugal,Defender,70,70,67,69,68,68,False,Medium,False,False,19.0,1.0,0.05263157894736842,0.0,0.0,17.0,0.8947368421052632
2393,Marcel De Jong,Vancouver Whitecaps FC,USA Major League Soccer,30,Canada,Midfielder,66,66,74,68,66,66,False,Medium,False,False,29.0,3.0,0.10344827586206896,0.0,0.0,0.0,0.0
2394,Marcel Halstenberg,RB Leipzig,German Bundesliga,25,Germany,Defender,75,78,72,77,71,70,False,Medium,False,False,30.0,4.0,0.13333333333333333,0.0,0.0,10.0,0.3333333333333333
2396,Marcel Heller,FC Augsburg,German Bundesliga,31,Germany,Midfielder,74,74,58,37,24,15,False,Medium,False,False,65.0,9.0,0.13846153846153847,0.0,0.0,0.0,0.0
2397,Marcel Risse,1. FC Koln,German Bundesliga,27,Germany,Midfielder,77,77,60,71,66,65,False,High,False,False,96.0,10.0,0.10416666666666667,0.0,0.0,0.0,0.0
2398,Marcel Sabitzer,RB Leipzig,German Bundesliga,23,Austria,Midfielder,78,82,69,33,19,23,False,Medium,False,False,32.0,3.0,0.09375,0.0,0.0,0.0,0.0
2399,Marcel Schmelzer,Borussia Dortmund,German Bundesliga,29,Germany,Defender,80,80,81,82,81,79,False,High,False,False,123.0,13.0,0.10569105691056911,1.0,0.008130081300813009,46.0,0.37398373983739835
2401,Marcel Tisserand,VfL Wolfsburg,German Bundesliga,24,DR Congo,Defender,73,79,77,74,72,73,False,Medium,False,False,89.0,20.0,0.2247191011235955,0.0,0.0,67.0,0.7528089887640449
2402,Marcello Gazzola,Sassuolo,Italian Serie A,32,Italy,Midfielder,73,73,68,73,72,66,False,Medium,False,False,67.0,17.0,0.2537313432835821,0.0,0.0,0.0,0.0
2403,Marcelo Brozovic,Inter,Italian Serie A,24,Croatia,Midfielder,81,85,68,72,70,64,False,Medium,False,False,69.0,21.0,0.30434782608695654,0.0,0.0,0.0,0.0
2404,Marcelo Diaz,U.N.A.M.,Mexican Liga MX,30,Chile,Midfielder,78,78,78,77,68,74,False,High,False,False,32.0,7.0,0.21875,0.0,0.0,0.0,0.0
2406,Marcelo Estigarribia,Colon de Santa Fe,Argentinian Superliga,29,Paraguay,Forward,72,72,75,69,69,57,False,Medium,False,False,34.0,2.0,0.058823529411764705,0.0,0.0,0.0,0.0
2407,Marcelo Estigarribia,Colon de Santa Fe,Argentinian Superliga,29,Paraguay,Midfielder,72,72,75,69,69,57,False,Medium,False,False,41.0,5.0,0.12195121951219512,0.0,0.0,0.0,0.0
2408,Marcelo Larrondo,River Plate,Argentinian Superliga,28,Chile,Forward,74,74,74,24,18,22,False,Low,False,False,20.0,2.0,0.1,0.0,0.0,0.0,0.0
2410,Marco Andreolli,Cagliari,Italian Serie A,31,Italy,Defender,77,77,78,82,78,80,False,Medium,False,False,49.0,8.0,0.16326530612244897,0.0,0.0,27.0,0.5510204081632653
2411,Marco Asensio,Real Madrid CF,Spanish Primera Division,21,Spain,Midfielder,84,92,45,42,39,29,False,Medium,False,False,57.0,3.0,0.05263157894736842,0.0,0.0,0.0,0.0
2412,Marco Benassi,Fiorentina,Italian Serie A,22,Italy,Midfielder,79,86,74,77,74,64,False,Medium,False,False,111.0,25.0,0.22522522522522523,1.0,0.009009009009009009,0.0,0.0
2413,Marco Caligiuri,SpVgg Greuther Furth,German 2. Bundesliga,33,Germany,Midfielder,71,71,68,72,68,75,False,Medium,False,False,34.0,1.0,0.029411764705882353,0.0,0.0,0.0,0.0
2414,Marco Capuano,Cagliari,Italian Serie A,25,Italy,Defender,72,76,69,71,70,69,False,Medium,False,False,53.0,6.0,0.11320754716981132,0.0,0.0,79.0,1.490566037735849
2415,Marco Crimi,Virtus Entella,Italian Serie B,27,Italy,Midfielder,69,70,70,70,66,68,False,Medium,False,False,20.0,9.0,0.45,0.0,0.0,0.0,0.0
2416,Marco D'Alessandro,Benevento Calcio,Italian Serie A,26,Italy,Midfielder,70,71,38,22,23,22,False,Low,False,False,70.0,11.0,0.15714285714285714,0.0,0.0,0.0,0.0
2417,Marco Donadel,Montreal Impact,USA Major League Soccer,34,Italy,Midfielder,68,68,85,63,68,62,False,Medium,False,False,27.0,7.0,0.25925925925925924,1.0,0.037037037037037035,0.0,0.0
2418,Marco Fabian,Eintracht Frankfurt,German Bundesliga,27,Mexico,Midfielder,79,79,64,44,39,20,False,Medium,False,False,35.0,11.0,0.3142857142857143,0.0,0.0,0.0,0.0
2419,Marco Faraoni,Crotone,Italian Serie A,25,Italy,Defender,70,73,77,66,71,63,False,Medium,False,False,16.0,3.0,0.1875,0.0,0.0,8.0,0.5
2422,Marco Hoger,1. FC Koln,German Bundesliga,27,Germany,Midfielder,77,77,79,78,75,79,False,High,False,False,91.0,25.0,0.27472527472527475,0.0,0.0,0.0,0.0
2423,Marco Ilaimaharitra,Sporting Charleroi,Belgian First Division A,21,France,Midfielder,65,74,69,65,66,56,False,Medium,False,False,12.0,1.0,0.08333333333333333,0.0,0.0,0.0,0.0
2424,Marco Motta,UD Almeria,Spanish Segunda Division,31,Italy,Defender,73,73,78,74,72,65,False,Medium,False,False,34.0,6.0,0.17647058823529413,0.0,0.0,23.0,0.6764705882352942
2425,Marco Parolo,Lazio,Italian Serie A,32,Italy,Midfielder,81,81,80,80,82,71,False,High,False,False,172.0,48.0,0.27906976744186046,0.0,0.0,0.0,0.0
2426,Marco Reus,Borussia Dortmund,German Bundesliga,28,Germany,Midfielder,86,86,49,36,46,30,False,Medium,False,False,124.0,15.0,0.12096774193548387,0.0,0.0,0.0,0.0
2427,Marco Rossi,Wellington Phoenix,Australian A-League,29,Italy,Midfielder,67,67,74,67,64,66,False,Medium,False,False,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2428,Marco Russ,Eintracht Frankfurt,German Bundesliga,31,Germany,Defender,74,74,77,78,75,76,False,Medium,False,False,97.0,27.0,0.27835051546391754,0.0,0.0,83.0,0.8556701030927835
2430,Marco Sau,Cagliari,Italian Serie A,29,Italy,Forward,74,74,38,22,22,18,False,Medium,False,False,121.0,12.0,0.09917355371900827,0.0,0.0,0.0,0.0
2432,Marco Sportiello,Fiorentina,Italian Serie A,25,Italy,Goalkeeper,78,82,23,17,13,19,False,Medium,False,False,86.0,7.0,0.08139534883720931,0.0,0.0,55.0,0.6395348837209303
2433,Marco Storari,Milan,Italian Serie A,40,Italy,Goalkeeper,76,76,31,14,11,11,False,Medium,False,False,32.0,1.0,0.03125,1.0,0.03125,25.0,0.78125
2435,Marco Torsiglieri,Racing Club de Avellaneda,Argentinian Superliga,29,Argentina,Defender,71,71,76,70,71,72,False,Medium,False,False,27.0,5.0,0.18518518518518517,0.0,0.0,28.0,1.037037037037037
2437,Marco Verratti,Paris Saint-Germain,French Ligue 1,24,Italy,Midfielder,87,91,89,84,79,76,False,High,False,False,134.0,39.0,0.291044776119403,0.0,0.0,0.0,0.0
2438,Marco van Ginkel,PSV,Holland Eredivisie,24,Netherlands,Midfielder,78,82,68,71,68,55,False,Medium,False,False,36.0,3.0,0.08333333333333333,0.0,0.0,0.0,0.0
2439,Marcos Alonso,Chelsea,English Premier League,26,Spain,Midfielder,81,83,72,80,78,77,False,High,False,False,53.0,12.0,0.22641509433962265,0.0,0.0,0.0,0.0
2440,Marcos Angeleri,San Lorenzo de Almagro,Argentinian Superliga,34,Argentina,Defender,75,75,84,79,76,74,False,High,False,False,60.0,16.0,0.26666666666666666,1.0,0.016666666666666666,28.0,0.4666666666666667
2441,Marcos Llorente,Real Madrid CF,Spanish Primera Division,22,Spain,Midfielder,77,86,65,76,69,64,False,Medium,False,False,34.0,5.0,0.14705882352941177,0.0,0.0,0.0,0.0
2442,Marcos Rojo,Manchester United,English Premier League,27,Argentina,Defender,82,83,92,82,80,79,False,High,False,False,59.0,14.0,0.23728813559322035,0.0,0.0,16.0,0.2711864406779661
2443,Marcus Berg,Free Agent,Rest Of The World,30,Sweden,Forward,80,80,61,33,25,12,False,Low,False,False,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2445,Marcus Coco,En Avant de Guingamp,French Ligue 1,21,France,Midfielder,76,82,49,44,32,30,False,Medium,False,False,67.0,15.0,0.22388059701492538,0.0,0.0,0.0,0.0
2447,Marcus Rashford,Manchester United,English Premier League,19,England,Forward,81,90,67,37,33,29,False,Medium,False,False,43.0,3.0,0.06976744186046512,0.0,0.0,0.0,0.0
2448,Marcus Rohden,Crotone,Italian Serie A,26,Sweden,Midfielder,71,71,87,66,56,52,False,Medium,False,False,34.0,4.0,0.11764705882352941,0.0,0.0,0.0,0.0
2449,Marek Hamsik,Napoli,Italian Serie A,29,Slovakia,Midfielder,87,87,56,73,62,60,False,Medium,False,False,177.0,6.0,0.03389830508474576,0.0,0.0,0.0,0.0
2451,Mariano,Olympique Lyonnais,French Ligue 1,23,Dominican Republic,Defender,77,83,73,35,28,30,False,Medium,False,False,155.0,29.0,0.1870967741935484,0.0,0.0,65.0,0.41935483870967744
2452,Mariano Andujar,Estudiantes de La Plata,Argentinian Superliga,33,Argentina,Goalkeeper,77,77,39,18,19,11,False,Medium,False,False,73.0,2.0,0.0273972602739726,1.0,0.0136986301369863,53.0,0.726027397260274
2454,Mario Balotelli,OGC Nice,French Ligue 1,26,Italy,Forward,82,82,70,22,20,16,False,Low,False,False,116.0,36.0,0.3103448275862069,2.0,0.017241379310344827,0.0,0.0
2456,Mario Gomez,VfL Wolfsburg,German Bundesliga,31,Germany,Forward,82,82,72,24,20,20,False,Medium,False,False,83.0,8.0,0.0963855421686747,0.0,0.0,0.0,0.0
2458,Mario Gotze,Borussia Dortmund,German Bundesliga,25,Germany,Midfielder,81,85,48,43,23,16,False,Medium,False,False,113.0,7.0,0.061946902654867256,0.0,0.0,0.0,0.0
2459,Mario Lemina,Southampton,English Premier League,23,Gabon,Midfielder,77,83,70,69,66,62,False,Medium,False,False,82.0,12.0,0.14634146341463414,1.0,0.012195121951219513,0.0,0.0
2460,Mario Mandzukic,Juventus,Italian Serie A,31,Croatia,Forward,83,83,88,64,64,56,False,High,False,False,144.0,27.0,0.1875,0.0,0.0,0.0,0.0
2461,Mario Pasalic,Spartak Moscow,Russian Premier League,22,Croatia,Midfielder,76,85,76,72,64,68,False,High,False,False,71.0,11.0,0.15492957746478872,0.0,0.0,0.0,0.0
2463,Mario Rui,Napoli,Italian Serie A,26,Portugal,Defender,77,78,73,75,75,72,False,Medium,False,False,75.0,15.0,0.2,0.0,0.0,43.0,0.5733333333333334
2464,Mario Sampirisi,Crotone,Italian Serie A,24,Italy,Defender,70,76,72,75,72,69,False,Medium,False,False,46.0,6.0,0.13043478260869565,0.0,0.0,38.0,0.8260869565217391
2465,Mario Vrancic,Norwich City,English Championship,28,Bosnia Herzegovina,Midfielder,72,72,66,56,35,39,False,Medium,False,False,75.0,10.0,0.13333333333333333,0.0,0.0,0.0,0.0
2466,Marios Oikonomou,Ferrara (SPAL),Italian Serie A,24,Greece,Defender,74,78,64,78,74,78,False,High,False,False,39.0,7.0,0.1794871794871795,0.0,0.0,31.0,0.7948717948717948
2471,Mariusz Stepinski,Chievo Verona,Italian Serie A,22,Poland,Forward,70,77,50,18,17,19,False,Medium,False,False,21.0,1.0,0.047619047619047616,0.0,0.0,0.0,0.0
2472,Mark Bunn,Aston Villa,English Championship,32,England,Goalkeeper,72,72,40,20,14,12,False,Medium,False,False,33.0,4.0,0.12121212121212122,1.0,0.030303030303030304,30.0,0.9090909090909091
2473,Mark Noble,West Ham United,English Premier League,30,England,Midfielder,76,76,81,74,75,65,False,High,False,False,161.0,36.0,0.2236024844720497,1.0,0.006211180124223602,0.0,0.0
2474,Mark Uth,TSG 1899 Hoffenheim,German Bundesliga,25,Germany,Forward,78,81,61,28,25,26,False,High,False,False,46.0,6.0,0.13043478260869565,0.0,0.0,0.0,0.0
2475,Markel Bergara,Getafe CF,Spanish Primera Division,31,Spain,Defender,72,72,80,82,71,69,False,High,False,False,116.0,28.0,0.2413793103448276,0.0,0.0,74.0,0.6379310344827587
2476,Marko Arnautovic,West Ham United,English Premier League,28,Austria,Midfielder,82,82,81,60,30,49,True,Medium,False,False,153.0,25.0,0.16339869281045752,1.0,0.006535947712418301,0.0,0.0
2479,Marko Livaja,AEK Athens,Greek Super League,23,Croatia,Forward,75,79,88,22,16,18,False,Medium,False,False,79.0,27.0,0.34177215189873417,1.0,0.012658227848101266,0.0,0.0
2480,Marko Marin,Olympiakos CFP,Greek Super League,28,Germany,Midfielder,75,75,35,23,22,26,True,Low,False,False,24.0,5.0,0.20833333333333334,0.0,0.0,0.0,0.0
2482,Marko Pjaca,Juventus,Italian Serie A,22,Croatia,Forward,76,86,50,26,24,16,False,Medium,False,False,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0
2483,Marko Rog,Napoli,Italian Serie A,21,Croatia,Midfielder,76,86,65,54,48,40,False,Medium,False,False,15.0,4.0,0.26666666666666666,0.0,0.0,0.0,0.0
2484,Markus Steinhofer,SV Darmstadt 98,German 2. Bundesliga,31,Germany,Defender,70,70,61,69,68,67,False,Medium,False,False,10.0,0.0,0.0,0.0,0.0,14.0,1.4
2485,Markus Suttner,Brighton & Hove Albion,English Premier League,30,Austria,Defender,73,73,68,72,71,69,False,Medium,False,False,48.0,12.0,0.25,0.0,0.0,31.0,0.6458333333333334
2488,Marlos Moreno,Girona CF,Spanish Primera Division,20,Colombia,Forward,72,81,38,27,29,19,False,High,False,False,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2489,Marouane Fellaini,Manchester United,English Premier League,29,Belgium,Midfielder,79,79,94,77,66,73,False,Medium,False,False,123.0,27.0,0.21951219512195122,2.0,0.016260162601626018,0.0,0.0
2490,Marquinhos,Paris Saint-Germain,French Ligue 1,23,Brazil,Defender,83,89,80,85,86,85,False,Medium,False,False,131.0,8.0,0.061068702290076333,1.0,0.007633587786259542,37.0,0.2824427480916031
2492,Marten de Roon,Atalanta,Italian Serie A,26,Netherlands,Midfielder,75,78,77,78,75,71,False,Medium,False,False,69.0,18.0,0.2608695652173913,0.0,0.0,0.0,0.0
2493,Martin Angha,FC Sion,Swiss Super League,23,Switzerland,Defender,67,75,69,66,65,64,False,Medium,False,False,14.0,4.0,0.2857142857142857,0.0,0.0,18.0,1.2857142857142858
2494,Martin Braithwaite,Middlesbrough,English Championship,26,Denmark,Forward,77,80,75,30,26,32,False,High,False,False,135.0,9.0,0.06666666666666667,0.0,0.0,0.0,0.0
2495,Martin Caceres,Hellas Verona,Italian Serie A,30,Uruguay,Defender,77,77,76,78,77,80,False,High,False,False,52.0,3.0,0.057692307692307696,0.0,0.0,8.0,0.15384615384615385
2496,Martin Hansen,SC Heerenveen,Holland Eredivisie,27,Denmark,Goalkeeper,73,76,24,14,14,13,False,Medium,False,False,23.0,1.0,0.043478260869565216,0.0,0.0,15.0,0.6521739130434783
2497,Martin Harnik,Hannover 96,German Bundesliga,30,Austria,Midfielder,76,76,72,32,42,39,False,Medium,False,False,107.0,17.0,0.1588785046728972,1.0,0.009345794392523364,0.0,0.0
2498,Martin Hinteregger,FC Augsburg,German Bundesliga,24,Austria,Defender,77,82,82,78,77,78,False,Medium,False,False,40.0,5.0,0.125,0.0,0.0,23.0,0.575
2499,Martin Hongla,Granada CF,Spanish Segunda Division,19,Cameroon,Defender,67,74,62,68,66,72,False,High,False,False,10.0,3.0,0.3,0.0,0.0,11.0,1.1
2500,Martin Kelly,Crystal Palace,English Premier League,27,England,Defender,73,74,70,77,78,72,False,Medium,False,False,82.0,9.0,0.10975609756097561,0.0,0.0,57.0,0.6951219512195121
2502,Martin Mantovani,CD Leganes,Spanish Primera Division,32,Argentina,Defender,75,75,90,74,67,74,False,Medium,False,False,31.0,9.0,0.2903225806451613,0.0,0.0,21.0,0.6774193548387096
2503,Martin Montoya,Valencia CF,Spanish Primera Division,26,Spain,Defender,77,80,69,77,80,76,False,Medium,False,False,63.0,8.0,0.12698412698412698,0.0,0.0,33.0,0.5238095238095238
2504,Martin Olsson,Swansea City,English Premier League,29,Sweden,Defender,75,75,74,76,73,74,False,Medium,False,False,73.0,6.0,0.0821917808219178,0.0,0.0,66.0,0.9041095890410958
2506,Martin Skrtel,Fenerbahce SK,Turkish Super Lig,32,Slovakia,Defender,81,81,80,83,81,80,False,High,False,False,116.0,23.0,0.19827586206896552,0.0,0.0,73.0,0.6293103448275862
2507,Martin Terrier,RC Strasbourg,French Ligue 1,20,France,Forward,65,77,39,26,31,28,False,Medium,False,False,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2508,Marvin Bakalorz,Hannover 96,German Bundesliga,27,Germany,Midfielder,73,74,86,74,73,68,False,Medium,False,False,32.0,2.0,0.0625,1.0,0.03125,0.0,0.0
2509,Marvin Compper,RB Leipzig,German Bundesliga,32,Germany,Defender,75,75,66,75,73,78,False,Medium,False,False,57.0,12.0,0.21052631578947367,0.0,0.0,41.0,0.7192982456140351
2510,Marvin Ducksch,Holstein Kiel,German 2. Bundesliga,23,Germany,Forward,68,74,50,35,22,18,True,Medium,False,False,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2511,Marvin Emnes,Akhisar Belediyespor,Turkish Super Lig,29,Netherlands,Forward,68,68,49,36,31,33,False,Low,False,False,26.0,4.0,0.15384615384615385,0.0,0.0,0.0,0.0
2514,Marvin Martin,Stade de Reims,French Ligue 2,29,France,Midfielder,72,72,63,59,35,39,False,Medium,False,False,83.0,14.0,0.1686746987951807,1.0,0.012048192771084338,0.0,0.0
