,Players,club,league,age,nationality,Position,overall,potential,aggression,standing_tackle,sliding_tackle,marking,diver_trait,work_rate_def,tackling_speciality,argues_with_officials_trait,Total Apps,Total Yellows,Average Yellows/Game,Total Reds,Average Reds/Game,Total Conceded 1+,Average Conceded 1+
128,Alejandro Bedoya,Philadelphia Union,USA Major League Soccer,30,United States,Midfielder,74,74,76,61,54,56,False,High,False,False,88.0,10.0,0.11363636363636363,0.0,0.0,0.0,0.0
129,Alejandro Bergantinos,Real Sporting de Gijon,Spanish Segunda Division,32,Spain,Midfielder,74,74,74,76,67,70,False,Medium,False,False,91.0,13.0,0.14285714285714285,0.0,0.0,0.0,0.0
130,Alejandro Dario Gomez,Atalanta,Italian Serie A,29,Argentina,Midfielder,84,84,56,30,34,24,False,Medium,False,False,131.0,16.0,0.12213740458015267,1.0,0.007633587786259542,0.0,0.0
131,Alejandro Dominguez,Rayo Vallecano,Spanish Segunda Division,36,Argentina,Midfielder,76,76,60,24,47,34,False,Low,False,False,33.0,11.0,0.3333333333333333,0.0,0.0,0.0,0.0
134,Aleksandar Kolarov,Roma,Italian Serie A,31,Serbia,Defender,79,79,85,81,80,74,False,Medium,False,False,129.0,19.0,0.14728682170542637,0.0,0.0,51.0,0.3953488372093023
135,Aleksandar Mitrovic,Newcastle United,English Premier League,22,Serbia,Forward,75,80,89,24,13,14,False,Medium,False,False,34.0,4.0,0.11764705882352941,2.0,0.058823529411764705,0.0,0.0
136,Aleksandar Tonev,Crotone,Italian Serie A,27,Bulgaria,Midfielder,68,68,37,46,44,32,False,Medium,False,False,52.0,4.0,0.07692307692307693,0.0,0.0,0.0,0.0
137,Aleksandar Trajkovski,Palermo,Italian Serie B,24,FYR Macedonia,Forward,69,74,39,19,21,16,False,Low,False,False,43.0,3.0,0.06976744186046512,0.0,0.0,0.0,0.0
138,Alen Halilovic,UD Las Palmas,Spanish Primera Division,21,Croatia,Midfielder,77,85,40,16,21,26,False,Low,False,False,60.0,8.0,0.13333333333333333,0.0,0.0,0.0,0.0
140,Alessandro Bernardini,Salernitana,Italian Serie B,30,Italy,Midfielder,69,69,69,74,67,65,False,High,False,False,13.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Alessandro Crescenzi,Pescara,Italian Serie B,25,Italy,Defender,69,71,75,65,69,65,False,Medium,False,False,30.0,3.0,0.1,0.0,0.0,46.0,1.5333333333333334
144,Alessandro Florenzi,Roma,Italian Serie A,26,Italy,Midfielder,82,84,79,79,78,73,False,Medium,False,False,150.0,24.0,0.16,0.0,0.0,0.0,0.0
145,Alessandro Frara,Frosinone,Italian Serie B,34,Italy,Midfielder,67,67,68,66,36,41,False,Medium,False,False,20.0,2.0,0.1,0.0,0.0,0.0,0.0
146,Alessandro Gamberini,Chievo Verona,Italian Serie A,35,Italy,Defender,77,77,73,82,78,83,False,High,False,False,97.0,8.0,0.08247422680412371,0.0,0.0,51.0,0.5257731958762887
