,Players,Position,Clubs,league,age,nationality,overall,Continent,Homegrown,Starts/Apps,Subbed Off/Apps,Overall Apps,Average Form,Goals/Apps,Assists/Apps,Clean Sheets/Apps
53,Gonzalo Higuain,Forward,MADR,Italian Serie A,29,Argentina,90,South America,False,0.6785714285714286,0.21428571428571427,28.0,4.928571428571429,0.5714285714285714,0.17857142857142858,0.0
54,Arjen Robben,Midfielder,BM1,German Bundesliga,33,Netherlands,88,Europe,False,0.8130841121495327,0.3925233644859813,107.0,4.925233644859813,0.4672897196261682,0.2616822429906542,0.0
55,Thomas Muller,Forward,BM1,German Bundesliga,27,Germany,86,Europe,True,0.8533333333333334,0.32666666666666666,150.0,4.913333333333333,0.4266666666666667,0.3333333333333333,0.0
56,Andrea Belotti,Forward,TOCA,Italian Serie A,23,Italy,83,Europe,True,0.9285714285714286,0.17142857142857143,70.0,4.9,0.5428571428571428,0.15714285714285714,0.0
57,Mohamed Salah,Forward,ROMA,English Premier League,25,Egypt,83,Africa,False,0.9384615384615385,0.49230769230769234,65.0,4.892307692307693,0.4461538461538462,0.26153846153846155,0.0
58,Hatem Ben Arfa,Midfielder,NICE,French Ligue 1,30,France,81,Europe,True,0.9714285714285714,0.42857142857142855,35.0,4.857142857142857,0.4857142857142857,0.17142857142857143,0.0
59,Emil Forsberg,Forward,,German Bundesliga,25,Sweden,83,Europe,False,0.9,0.43333333333333335,30.0,4.833333333333333,0.26666666666666666,0.6,0.0
60,Paulo Dybala,Forward,JUVE,Italian Serie A,23,Argentina,88,South America,False,0.8461538461538461,0.5692307692307692,65.0,4.8307692307692305,0.46153846153846156,0.24615384615384617,0.0
61,Antoine Griezmann,Forward,,Spanish Primera Division,26,France,88,Europe,False,0.9099099099099099,0.45045045045045046,111.0,4.8108108108108105,0.5405405405405406,0.12612612612612611,0.0
62,Marco Reus,Midfielder,BD1,German Bundesliga,28,Germany,86,Europe,True,0.8870967741935484,0.5080645161290323,124.0,4.806451612903226,0.45161290322580644,0.2661290322580645,0.0
63,Sadio Mane,Midfielder,LPOOL,English Premier League,25,Senegal,84,Africa,False,0.9629629629629629,0.48148148148148145,27.0,4.777777777777778,0.48148148148148145,0.18518518518518517,0.0
64,Diego Costa,Forward,,English Premier League,28,Spain,86,Europe,False,0.8787878787878788,0.36363636363636365,66.0,4.757575757575758,0.5606060606060606,0.15151515151515152,0.0
65,Adrian Ramos,Forward,HB1,Spanish Segunda Division,31,Colombia,78,South America,False,0.9375,0.25,32.0,4.75,0.5,0.15625,0.0
66,Charlie Austin,Forward,QPR,English Premier League,27,England,78,Europe,True,1.0,0.08571428571428572,35.0,4.742857142857143,0.5142857142857142,0.14285714285714285,0.0
67,Romelu Lukaku,Forward,EVER,English Premier League,24,Belgium,86,Europe,False,0.9454545454545454,0.18181818181818182,110.0,4.7272727272727275,0.4818181818181818,0.16363636363636364,0.0
