,Players,club,league,age,nationality,Position,overall,potential,eur_value,injury_prone_trait,Previous Average Form,Current Average Form,Apps This Season,Plays in Top 5 Leagues,Homegrown
168,Claudio Pizarro,1. FC Koln,German Bundesliga,38,Peru,Forward,75,75,2400000.0,True,3.402061855670103,2.3076923076923075,13.0,True,False
169,Daley Blind,Manchester United,English Premier League,27,Netherlands,Defender,80,81,13500000.0,False,3.397590361445783,4.5,6.0,True,False
170,Vincent Aboubakar,FC Porto,Portuguese Primeira Liga,25,Cameroon,Forward,78,82,13500000.0,False,3.393939393939394,0.0,0.0,False,False
171,Paco Alcacer,FC Barcelona,Spanish Primera Division,23,Spain,Forward,79,85,17500000.0,False,3.3923076923076922,3.6428571428571432,14.0,True,True
172,Hiroshi Kiyotake,Cerezo Osaka,Japanese J1 League,27,Japan,Midfielder,76,77,9000000.0,False,3.3884297520661155,0.0,0.0,False,False
173,Gary Cahill,Chelsea,English Premier League,31,England,Defender,84,84,21000000.0,False,3.388157894736842,2.6666666666666665,24.0,True,True
174,Stephane Ruffier,AS Saint-Etienne,French Ligue 1,30,France,Goalkeeper,85,85,24500000.0,False,3.3825136612021858,0.0,0.0,True,True
175,Mattia Destro,Bologna,Italian Serie A,26,Italy,Forward,76,79,9500000.0,False,3.37984496124031,3.25,24.0,True,True
176,Lars Stindl,Borussia Monchengladbach,German Bundesliga,28,Germany,Forward,82,82,23000000.0,False,3.376923076923077,3.066666666666667,30.0,True,True
177,Mats Hummels,FC Bayern Munich,German Bundesliga,28,Germany,Defender,88,88,48000000.0,False,3.3759398496240602,4.086956521739131,23.0,True,True
178,Ivan Santini,SM Caen,French Ligue 1,28,Croatia,Forward,75,75,7000000.0,False,3.375,0.0,0.0,True,False
179,Cyril Thereau,Fiorentina,Italian Serie A,34,France,Forward,77,77,4500000.0,False,3.3714285714285714,3.8636363636363638,22.0,True,True
180,Mark Uth,TSG 1899 Hoffenheim,German Bundesliga,25,Germany,Forward,78,81,13000000.0,False,3.369565217391304,4.333333333333333,27.0,True,True
181,Josip Ilicic,Atalanta,Italian Serie A,29,Slovenia,Midfielder,80,80,15000000.0,False,3.3576642335766422,4.214285714285714,28.0,True,False
182,Alessio Cerci,Hellas Verona,Italian Serie A,29,Italy,Midfielder,75,75,6500000.0,False,3.3559322033898304,2.736842105263158,19.0,True,True
183,Gerard Moreno,RCD Espanyol,Spanish Primera Division,25,Spain,Forward,80,84,19500000.0,False,3.3541666666666665,3.727272727272727,33.0,True,True
184,Alberto Gilardino,La Spezia,Italian Serie B,34,Italy,Forward,75,75,3500000.0,False,3.3529411764705883,0.0,0.0,False,True
185,Benjamin Moukandjo,Free Agent,Rest Of The World,28,Cameroon,Forward,77,77,0.0,False,3.3524590163934427,0.0,0.0,False,False
186,Martin Braithwaite,Middlesbrough,English Championship,26,Denmark,Forward,77,80,11000000.0,False,3.348148148148148,0.0,0.0,False,False
187,Valere Germain,Olympique de Marseille,French Ligue 1,27,France,Forward,80,80,16000000.0,False,3.3333333333333335,0.0,0.0,True,True
188,Marco Sau,Cagliari,Italian Serie A,29,Italy,Forward,74,74,5500000.0,True,3.330578512396694,1.8,25.0,True,True
189,Petr Cech,Arsenal,English Premier League,35,Czech Republic,Goalkeeper,86,86,10500000.0,False,3.328767123287671,2.65625,32.0,True,False
190,Daniele Rugani,Juventus,Italian Serie A,22,Italy,Defender,80,88,19000000.0,False,3.3285714285714287,4.25,16.0,True,True
191,Sejad Salihovic,Hamburger SV,German Bundesliga,32,Bosnia Herzegovina,Midfielder,75,75,5000000.0,False,3.3278688524590163,1.8,10.0,True,False
192,Sergio Ramos,Real Madrid CF,Spanish Primera Division,31,Spain,Defender,90,90,52000000.0,False,3.325925925925926,3.130434782608696,23.0,True,True
193,Timo Werner,RB Leipzig,German Bundesliga,21,Germany,Forward,82,87,30500000.0,False,3.3253968253968256,4.321428571428571,28.0,True,True
194,Stevan Jovetic,AS Monaco,French Ligue 1,27,Montenegro,Forward,81,82,21000000.0,False,3.324561403508772,0.0,0.0,True,False
195,Nemanja Pejcinovic,Lokomotiv Moscow,Russian Premier League,29,Serbia,Defender,77,77,7000000.0,False,3.3181818181818183,0.0,0.0,False,False
196,Rod Fanni,Olympique de Marseille,French Ligue 1,35,France,Defender,72,72,725000.0,False,3.3181818181818183,0.0,0.0,True,True
197,Heung Min Son,Tottenham Hotspur,English Premier League,24,Korea Republic,Midfielder,82,85,28000000.0,False,3.3174603174603177,4.03030303030303,33.0,True,False
198,Paul-Georges Ntep,VfL Wolfsburg,German Bundesliga,24,France,Forward,79,82,16000000.0,True,3.3095238095238093,1.4,5.0,True,True
199,Giovani Dos Santos,LA Galaxy,USA Major League Soccer,28,Mexico,Forward,78,78,10500000.0,True,3.3095238095238093,0.0,0.0,False,False
200,Andrea Pirlo,New York City Football Club,USA Major League Soccer,38,Italy,Midfielder,77,77,2800000.0,False,3.308641975308642,0.0,0.0,False,True
201,Mateo Musacchio,Milan,Italian Serie A,26,Argentina,Defender,83,86,27000000.0,False,3.3048780487804876,1.8461538461538465,13.0,True,False
202,Vincent Enyeama,LOSC Lille,French Ligue 1,34,Nigeria,Goalkeeper,80,80,6000000.0,False,3.300699300699301,0.0,0.0,True,False
203,Mame Biram Diouf,Stoke City,English Premier League,29,Senegal,Forward,77,77,9000000.0,False,3.298507462686567,2.7419354838709675,31.0,True,False
204,Alberto Paloschi,Ferrara (SPAL),Italian Serie A,27,Italy,Forward,76,77,9000000.0,False,3.2962962962962963,2.677419354838709,31.0,True,True
205,Aleksandar Kolarov,Roma,Italian Serie A,31,Serbia,Defender,79,79,8000000.0,False,3.294573643410853,4.161290322580645,31.0,True,False
206,Ivan Perisic,Inter,Italian Serie A,28,Croatia,Midfielder,84,84,31500000.0,False,3.292207792207792,4.1875,32.0,True,False
207,Nicolai Muller,Hamburger SV,German Bundesliga,29,Germany,Midfielder,78,78,10000000.0,False,3.287769784172662,7.0,1.0,True,True
208,Per Mertesacker,Arsenal,English Premier League,32,Germany,Defender,81,81,10000000.0,False,3.2868217054263567,2.4,5.0,True,True
209,Shinji Kagawa,Borussia Dortmund,German Bundesliga,28,Japan,Midfielder,83,83,26000000.0,False,3.2844827586206895,3.2222222222222223,18.0,True,False
210,Gonzalo Bergessio,Velez Sarsfield,Argentinian Superliga,32,Argentina,Forward,71,71,1900000.0,False,3.2823529411764705,0.0,0.0,False,False
211,Yoshinori Muto,1. FSV Mainz 05,German Bundesliga,24,Japan,Midfielder,77,82,12000000.0,False,3.282051282051282,3.130434782608696,23.0,True,False
212,Bernardo Silva,Manchester City,English Premier League,22,Portugal,Midfielder,84,91,43500000.0,False,3.28,2.3225806451612905,31.0,True,False
213,Alassane Plea,OGC Nice,French Ligue 1,24,France,Midfielder,80,86,20500000.0,False,3.2738095238095237,0.0,0.0,True,True
214,Vincent Kompany,Manchester City,English Premier League,31,Belgium,Defender,85,85,26000000.0,True,3.269230769230769,3.466666666666667,15.0,True,False
215,Claudio Bravo,Manchester City,English Premier League,34,Chile,Goalkeeper,82,82,9000000.0,False,3.267080745341615,3.0,1.0,True,False
216,Luis Muriel,Sevilla FC,Spanish Primera Division,26,Colombia,Forward,80,83,18500000.0,False,3.2666666666666666,2.923076923076924,26.0,True,False
217,Paul Pogba,Manchester United,English Premier League,24,France,Midfielder,87,92,66500000.0,False,3.2662337662337664,4.043478260869565,23.0,True,True
218,Alphonse Areola,Paris Saint-Germain,French Ligue 1,24,France,Goalkeeper,80,86,15000000.0,False,3.2588235294117647,0.0,0.0,True,True
219,Yannis Salibur,En Avant de Guingamp,French Ligue 1,26,France,Midfielder,77,78,10500000.0,False,3.257142857142857,0.0,0.0,True,True
220,Romain Alessandrini,LA Galaxy,USA Major League Soccer,28,France,Midfielder,77,77,9000000.0,False,3.2524271844660193,0.0,0.0,False,True
221,Moritz Hartmann,FC Ingolstadt 04,German 2. Bundesliga,31,Germany,Forward,71,71,2100000.0,False,3.25,0.0,0.0,False,True
222,Diego Rolan,Malaga CF,Spanish Primera Division,24,Uruguay,Forward,77,80,11500000.0,False,3.2479338842975207,3.1363636363636362,22.0,True,False
223,Jose Reina,Napoli,Italian Serie A,34,Spain,Goalkeeper,83,83,10500000.0,False,3.246376811594203,3.75,32.0,True,True
224,Patrick Herrmann,Borussia Monchengladbach,German Bundesliga,26,Germany,Defender,79,80,15000000.0,True,3.246268656716418,1.6818181818181819,22.0,True,True
225,Bryan Ruiz,Sporting CP,Portuguese Primeira Liga,31,Costa Rica,Forward,77,77,8000000.0,False,3.2439024390243905,0.0,0.0,False,False
226,Miralem Pjanic,Juventus,Italian Serie A,27,Bosnia Herzegovina,Midfielder,85,86,43500000.0,False,3.24375,3.333333333333333,27.0,True,False
227,Arturo Vidal,FC Bayern Munich,German Bundesliga,30,Chile,Midfielder,87,87,37500000.0,False,3.2416107382550337,3.1363636363636362,22.0,True,False
228,Fernando Torres,Atletico Madrid,Spanish Primera Division,33,Spain,Forward,81,81,11000000.0,False,3.24,1.8181818181818181,22.0,True,True
229,Nolan Roux,FC Metz,French Ligue 1,29,France,Forward,73,73,4000000.0,False,3.2344827586206897,0.0,0.0,True,True
230,Cedric Bakambu,Villarreal CF,Spanish Primera Division,26,DR Congo,Forward,81,84,22500000.0,False,3.2338709677419355,4.666666666666667,15.0,True,False
231,Adam Lallana,Liverpool,English Premier League,29,England,Midfielder,83,83,25000000.0,True,3.230769230769231,1.0,11.0,True,True
232,Tomer Hemed,Brighton & Hove Albion,English Premier League,30,Israel,Forward,72,72,3000000.0,False,3.2253521126760565,2.5625,16.0,True,False
233,Pablo Piatti,RCD Espanyol,Spanish Primera Division,28,Argentina,Forward,79,79,12500000.0,True,3.225225225225225,2.142857142857143,28.0,True,False
234,Gonzalo Rodriguez,San Lorenzo de Almagro,Argentinian Superliga,33,Argentina,Defender,81,81,7000000.0,False,3.220125786163522,0.0,0.0,False,False
235,Douglas Costa,Juventus,Italian Serie A,26,Brazil,Midfielder,82,82,24000000.0,False,3.22,3.2692307692307687,26.0,True,False
236,Jean Michael Seri,OGC Nice,French Ligue 1,25,Ivory Coast,Midfielder,82,83,26000000.0,False,3.219178082191781,0.0,0.0,True,False
237,Tobias Werner,1. FC Nurnberg,German 2. Bundesliga,31,Germany,Midfielder,70,70,1600000.0,False,3.2169811320754715,0.0,0.0,False,True
238,Paul Baysse,Malaga CF,Spanish Primera Division,29,France,Defender,78,78,8000000.0,True,3.2151898734177213,1.7333333333333334,15.0,True,True
