,Players,Points,Clubs,Position,Start,Goals,A,CS,CS part,Yellow,Red,Sub,CO,Off,Pen SV,Pen M,Goals conceded,Conceded 1+,OG,FirstInitial,Firstname,Surname
1186,Jaume Costa,99,VIAL,Defender,28,1,0,13,2,8,0,3,1,3,0,0,25,11,0,J,Jaume,Costa
1187,Saul,99,,Forward,30,3,8,0,0,4,0,5,4,17,0,0,0,0,0,S,Saul,Saul
1188,Jorge Koke,99,,Midfielder,33,2,10,0,0,8,0,1,1,3,0,0,0,0,0,J,Jorge,Koke
1189,Kiko Casilla,99,RCDE,Goalkeeper,37,0,0,13,0,4,1,0,0,0,1,0,49,25,0,K,Kiko,Casilla
1190,Jordi Alba,99,BARC,Defender,27,1,3,11,3,7,1,6,0,3,0,0,16,3,2,J,Jordi,Alba
1191,Xabier Prieto,98,RESO,Midfielder,33,4,5,0,0,5,0,2,2,4,0,0,0,0,0,X,Xabier,Prieto
1192,Isco,98,MADR,Midfielder,26,4,8,0,0,6,0,9,8,13,0,0,0,0,0,I,Isco,Isco
1193,Toni Kroos,97,MADR,Midfielder,36,2,7,0,0,6,0,1,0,8,0,0,0,0,0,T,Toni,Kroos
1194,Juanmi,97,MALA,Forward,26,8,0,0,0,3,0,8,8,14,0,0,0,0,0,J,Juanmi,Juanmi
1195,Vitolo,96,SEVI,Midfielder,27,6,5,0,0,6,0,3,3,11,0,0,0,0,0,V,Vitolo,Vitolo
1196,Victor Casadesus,96,,Forward,23,8,2,0,0,5,0,10,9,5,0,0,0,0,0,V,Victor,Casadesus
1197,Fabian Orellana,96,RCCV,Forward,34,5,6,0,0,11,1,1,1,8,0,1,0,0,0,F,Fabian,Orellana
1198,Sergio,96,RCCV,Goalkeeper,38,0,0,10,0,1,1,0,0,0,0,0,44,16,0,S,Sergio,Sergio
1199,Sofiane Feghouli,96,VALA,Midfielder,20,6,6,0,0,5,0,13,13,12,0,0,0,0,0,S,Sofiane,Feghouli
1200,Pepe,95,MADR,Defender,25,2,2,10,1,4,0,2,2,2,0,0,27,11,0,P,Pepe,Pepe
1201,Tiago,94,,Midfielder,31,5,4,0,0,5,0,3,0,7,0,0,0,0,0,T,Tiago,Tiago
1202,Miguel Angel Moya,94,,Goalkeeper,27,0,0,12,0,0,0,8,0,0,0,0,23,8,0,M,Miguel,Moya
1203,Mikel San Jose,94,ATBI,Defender,23,5,1,8,2,10,0,13,5,0,0,0,29,11,0,M,Mikel,Jose
1204,Pedro Rodriguez,93,BARC,Midfielder,14,6,6,0,0,3,0,24,20,7,0,0,0,0,0,P,Pedro,Rodriguez
1205,Sergio Canales,93,RESO,Midfielder,31,4,3,0,0,3,0,5,5,20,0,0,0,0,0,S,Sergio,Canales
1206,Eneko Boveda,92,,Defender,35,2,2,8,0,5,0,0,0,1,0,0,48,21,0,E,Eneko,Boveda
1207,Roberto Rosales,92,MALA,Defender,34,0,3,10,0,7,0,1,0,2,0,0,42,18,0,R,Roberto,Rosales
1208,Aymeric Laporte,92,ATBI,Defender,33,0,1,12,0,11,0,1,0,0,0,0,35,14,0,A,Aymeric,Laporte
1209,Youssef El-Arabi,91,,Forward,24,8,2,0,0,4,1,6,4,10,0,0,0,0,0,Y,Youssef,El-Arabi
1210,Lucas Vazquez,90,RCDE,Midfielder,30,3,6,0,0,7,0,6,4,5,0,0,0,0,0,L,Lucas,Vazquez
1211,Joao Miranda,90,,Defender,24,3,1,11,1,8,1,6,0,0,0,0,20,8,1,J,Joao,Miranda
1212,Gerard Moreno,90,VIAL,Forward,20,7,3,0,0,2,0,16,8,8,0,0,0,0,0,G,Gerard,Moreno
1213,Sergio Ramos,89,MADR,Defender,27,4,1,7,3,12,0,0,0,5,0,0,27,10,0,S,Sergio,Ramos
1214,Verza,89,,Midfielder,34,4,4,0,0,9,0,0,0,5,0,1,0,0,0,V,Verza,Verza
1215,Victor Rodriguez,89,,Midfielder,32,4,2,0,0,5,0,4,4,23,0,0,0,0,0,V,Victor,Rodriguez
1216,Imanol Agirretxe,88,RESO,Forward,21,7,1,0,0,2,0,13,10,9,0,0,0,0,0,I,Imanol,Agirretxe
1217,Alvaro Gonzalez,88,RCDE,Defender,34,1,0,13,0,13,0,2,2,0,0,0,49,26,0,A,Alvaro,Gonzalez
1218,Jose Luis Morales,87,,Midfielder,33,3,2,0,0,3,0,4,3,12,0,0,0,0,0,J,Jose,Morales
1219,Gustavo Cabral,87,RCCV,Defender,35,1,0,10,0,9,1,0,0,3,0,0,41,16,0,G,Gustavo,Cabral
1220,Mikel Rico,86,ATBI,Midfielder,32,3,2,0,0,3,0,5,4,14,0,0,0,0,0,M,Mikel,Rico
1221,Fabricio,85,RCDC,Goalkeeper,31,0,0,11,0,2,0,7,0,0,1,0,41,21,1,F,Fabricio,Fabricio
1222,Nordin Amrabat,85,MALA,Forward,20,6,4,0,0,6,0,11,11,6,0,1,0,0,0,N,Nordin,Amrabat
1223,Xavi,85,BARC,Midfielder,20,2,8,0,0,1,0,16,12,10,0,0,0,0,0,X,Xavi,Xavi
1224,Michael Krohn-Dehli,85,RCCV,Midfielder,35,1,5,0,0,6,0,1,1,14,0,0,0,0,0,M,Michael,Krohn-Dehli
1225,Jean-Sylvain Babin,84,,Defender,35,1,0,11,0,2,0,1,0,1,0,0,57,33,0,J,Jean-Sylvain,Babin
1226,Nabil Ghilas,84,,Forward,23,7,0,0,0,1,0,4,4,3,0,0,0,0,0,N,Nabil,Ghilas
1227,Denis Cherychev,84,VIAL,Forward,18,4,9,0,0,7,0,8,8,10,0,0,0,0,0,D,Denis,Cherychev
1228,Nicolas Pareja,83,SEVI,Defender,26,1,1,10,1,6,0,1,0,3,0,0,28,13,0,N,Nicolas,Pareja
1229,David Lomban,82,,Defender,33,5,0,8,0,10,0,2,1,1,0,0,55,29,1,D,David,Lomban
1230,Vicente Iborra,82,SEVI,Midfielder,24,7,1,0,0,6,0,5,2,8,0,0,0,0,0,V,Vicente,Iborra
1231,Daniel Carvajal,82,MADR,Defender,25,0,3,9,3,11,0,8,5,5,0,0,31,13,0,D,Daniel,Carvajal
1232,Leo Baptistao,82,RAVA,Forward,22,7,1,0,0,3,0,4,3,13,0,0,0,0,0,L,Leo,Baptistao
1233,Chori Castro,82,RESO,Midfielder,21,4,4,0,0,2,0,15,10,19,0,0,0,0,0,C,Chori,Castro
1234,Samu,81,MALA,Forward,28,5,1,0,0,8,0,6,5,14,0,0,0,0,0,S,Samu,Samu
1235,Inigo Martinez,81,RESO,Defender,34,3,0,6,0,6,0,0,0,1,0,0,48,20,0,I,Inigo,Martinez
1236,Mikel Balenziaga,81,ATBI,Defender,33,0,0,11,0,9,0,0,0,2,0,0,39,17,1,M,Mikel,Balenziaga
1237,Alvaro Negredo,80,VALA,Forward,14,5,5,0,0,4,0,16,16,6,0,0,0,0,0,A,Alvaro,Negredo
1238,Allan Nyom,80,,Defender,34,1,0,10,0,9,0,3,0,3,0,0,48,24,0,A,Allan,Nyom
1239,Aleix Vidal,80,SEVI,Forward,22,4,5,0,0,8,0,12,9,3,0,0,0,0,0,A,Aleix,Vidal
1240,Luisinho,79,RCDC,Defender,34,0,1,12,0,11,0,1,1,3,0,0,53,30,0,L,Luisinho,Luisinho
1241,Jonny,79,RCCV,Defender,32,0,1,9,0,9,0,5,4,1,0,0,43,16,1,J,Jonny,Jonny
1242,Kevin Gameiro,79,SEVI,Forward,7,8,2,0,0,0,0,19,19,4,0,0,0,0,0,K,Kevin,Gameiro
1243,Damian Suarez,78,,Defender,34,1,2,9,0,11,0,2,0,0,0,0,51,26,0,D,Damian,Suarez
1244,Andre Gomes,78,VALA,Midfielder,31,4,1,0,0,9,0,3,2,12,0,0,0,0,0,A,Andre,Gomes
1245,Pablo Sarabia,78,,Midfielder,31,2,4,0,0,10,0,4,4,12,0,0,0,0,0,P,Pablo,Sarabia
1246,Faycal Fajr,78,,Midfielder,29,1,4,0,0,2,0,8,5,9,0,0,0,0,0,F,Faycal,Fajr
1247,Jose Maria Gimenez,78,,Defender,18,1,3,8,1,3,0,19,1,0,0,0,14,4,0,J,Jose,Gimenez
1248,Javier Fuego,78,VALA,Midfielder,34,3,1,0,0,9,0,2,1,4,0,0,0,0,0,J,Javier,Fuego
1249,Moises Gomez,77,VIAL,Midfielder,17,4,5,0,0,6,0,18,14,9,0,0,0,0,0,M,Moises,Gomez
1250,Victor Ruiz,77,VIAL,Defender,24,0,2,9,1,5,0,5,1,0,0,0,26,11,0,V,Victor,Ruiz
1251,Ivan Cavaleiro,77,RCDC,Forward,27,3,3,0,0,6,0,8,7,13,0,1,0,0,0,I,Ivan,Cavaleiro
1252,Federico Cartabia,77,,Midfielder,23,4,6,0,0,11,0,9,6,8,0,1,0,0,0,F,Federico,Cartabia
1253,Ander Capa,76,,Midfielder,27,3,2,0,0,6,0,10,7,14,0,0,0,0,0,A,Ander,Capa
1254,Enzo Roco,75,,Defender,32,1,1,9,0,6,0,2,0,0,0,0,47,24,1,E,Enzo,Roco
1255,Arda Turan,75,,Midfielder,28,2,4,0,0,7,0,5,4,19,0,0,0,0,0,A,Arda,Turan
1256,Ruben Pardo,75,RESO,Defender,21,1,6,4,4,5,0,15,7,5,0,0,36,16,0,R,Ruben,Pardo
1257,Samu Castillejo,75,MALA,Midfielder,27,1,5,0,0,5,0,9,6,16,0,0,0,0,0,S,Samu,Castillejo
1258,Xabier Etxeita,74,ATBI,Defender,22,2,0,9,2,5,1,9,2,1,0,0,27,14,0,X,Xabier,Etxeita
1259,Raul Garcia,74,,Midfielder,17,5,3,0,0,8,0,15,14,4,0,0,0,0,0,R,Raul,Garcia
1260,Sergi Darder,74,MALA,Midfielder,33,4,0,0,0,10,1,2,1,12,0,0,0,0,0,S,Sergi,Darder
1261,Andreau Fontas,74,RCCV,Defender,33,0,0,7,1,8,0,1,1,0,0,0,41,15,0,A,Andreau,Fontas
1262,Daniel Carrico,73,SEVI,Defender,28,1,0,10,0,10,0,3,0,0,0,0,36,18,0,D,Daniel,Carrico
1263,Ever Banega,73,SEVI,Midfielder,24,3,3,0,0,10,0,12,11,7,0,0,0,0,0,E,Ever,Banega
1264,Javier Hernandez,73,MADR,Forward,7,7,3,0,0,2,0,29,17,2,0,0,0,0,0,J,Javier,Hernandez
1265,Roberto Trashorras,73,RAVA,Midfielder,33,1,4,0,0,10,0,3,0,3,0,0,0,0,0,R,Roberto,Trashorras
1266,Marc Bartra,73,BARC,Defender,11,1,3,7,4,1,0,20,3,2,0,0,4,1,0,M,Marc,Bartra
1267,Ikechukwu Uche,73,VIAL,Forward,19,6,1,0,0,2,0,8,4,16,0,0,0,0,0,I,Ikechukwu,Uche
1268,Lucas,72,RCDC,Forward,20,6,3,0,0,6,0,2,1,10,0,1,0,0,0,L,Lucas,Lucas
1269,Przemyslaw Tyton,72,,Goalkeeper,31,0,0,8,1,1,1,6,0,1,1,0,47,25,0,P,Przemyslaw,Tyton
1270,Weligton,72,MALA,Defender,32,0,1,9,1,14,1,0,0,2,0,0,38,16,0,W,Weligton,Weligton
1271,Markel Susaeta,72,ATBI,Midfielder,20,1,6,0,0,2,0,14,11,16,0,0,0,0,0,M,Markel,Susaeta
1272,Coke,71,SEVI,Defender,21,2,3,4,4,4,0,12,1,5,0,1,23,9,0,C,Coke,Coke
1273,Rodrigo Moreno,71,VALA,Forward,24,3,4,0,0,6,1,8,5,13,0,0,0,0,0,R,Rodrigo,Moreno
1274,Raphael Varane,71,MADR,Defender,21,0,0,7,3,1,0,14,6,1,0,0,27,10,0,R,Raphael,Varane
1275,Juanfran,71,RCDC,Midfielder,33,1,1,0,0,4,0,1,1,9,0,0,0,0,0,J,Juanfran,Juanfran
1276,Alberto Lopo,70,RCDC,Defender,30,2,0,9,0,15,0,3,0,1,0,0,42,21,0,A,Alberto,Lopo
1277,Raul Navas,70,,Defender,28,2,0,6,1,9,0,3,1,2,0,0,36,14,0,R,Raul,Navas
1278,Medhi Lacen,70,,Midfielder,29,2,2,0,0,5,0,1,1,3,0,0,0,0,0,M,Medhi,Lacen
1279,Alvaro Vazquez,69,,Defender,19,7,0,0,3,1,0,1,1,5,0,0,27,10,0,A,Alvaro,Vazquez
1280,Xabi,69,,Goalkeeper,33,0,0,7,0,3,0,5,0,0,0,0,48,22,0,X,Xabi,Xabi
1281,Sergio Busquets,69,BARC,Midfielder,29,1,3,0,0,7,0,4,4,8,0,0,0,0,0,S,Sergio,Busquets
1282,Oscar De Marcos,69,ATBI,Midfielder,32,1,2,0,0,6,0,5,3,1,0,0,0,0,1,O,Oscar,Marcos
1283,Fernandez Gabi,68,,Midfielder,32,0,5,0,0,13,0,3,2,13,0,0,0,0,0,F,Fernandez,Gabi
1284,Angel Trujillo,68,,Defender,36,0,1,8,0,5,1,0,1,0,0,0,61,32,0,A,Angel,Trujillo
1285,Thievy Bifouma,67,,Midfielder,21,4,1,0,0,6,0,8,8,13,0,0,0,0,0,T,Thievy,Bifouma
1286,Mario Pasalic,67,,Midfielder,26,3,0,0,0,5,0,10,5,12,0,0,0,0,0,M,Mario,Pasalic
1287,Santi Mina,67,RCCV,Forward,14,7,1,0,0,5,0,18,6,11,0,0,0,0,0,S,Santi,Mina
1288,Adriano,66,BARC,Defender,11,0,1,8,4,2,0,22,5,1,0,0,6,2,0,A,Adriano,Adriano
1289,Thomas,66,,Midfielder,28,4,0,0,0,13,0,6,3,7,0,0,0,0,0,T,Thomas,Thomas
1290,Victor Sanchez,66,RCDE,Midfielder,29,3,2,0,0,18,0,5,5,9,0,0,0,0,0,V,Victor,Sanchez
1291,Dani Garcia,66,,Midfielder,33,1,2,0,0,11,0,1,0,5,0,0,0,0,0,D,Dani,Garcia
1292,Edgar,65,,Midfielder,21,4,0,0,0,6,0,10,9,12,0,0,0,0,0,E,Edgar,Edgar
1293,Manu Del Moral,65,,Forward,21,3,1,0,0,2,0,7,7,17,0,0,0,0,0,M,Manu,Moral
1294,Fran Rico,65,,Midfielder,28,3,1,0,0,12,0,5,3,2,0,0,0,0,0,F,Fran,Rico
1295,Alvaro Arbeloa,65,MADR,Defender,12,1,5,4,6,7,0,20,10,5,0,0,22,10,0,A,Alvaro,Arbeloa
1296,Juan Rodriguez,65,,Midfielder,32,1,0,0,0,6,0,5,2,7,0,0,0,0,0,J,Juan,Rodriguez
1297,Piti,65,,Forward,28,1,3,0,0,10,0,5,5,14,0,0,0,0,0,P,Piti,Piti
1298,Benoit Tremoulinas,65,SEVI,Defender,19,0,4,6,2,5,0,4,2,3,0,0,23,10,0,B,Benoit,Tremoulinas
1299,Benat,65,ATBI,Midfielder,20,3,2,0,0,4,0,17,8,9,0,0,0,0,0,B,Benat,Benat
1300,Hugo Mallo,64,RCCV,Defender,27,1,0,5,2,6,0,4,1,6,0,0,35,14,0,H,Hugo,Mallo
1301,Pedro Leon,64,,Midfielder,16,2,5,0,0,1,0,10,8,10,0,0,0,0,0,P,Pedro,Leon
1302,Fredy Hinestroza,64,,Midfielder,21,2,2,0,0,6,0,15,12,14,0,0,0,0,0,F,Fredy,Hinestroza
1303,Sidnei,63,RCDC,Defender,32,0,2,10,0,10,0,0,0,1,0,0,53,31,2,S,Sidnei,Sidnei
1304,Manucho Goncalves,63,RAVA,Forward,12,4,1,0,0,5,0,25,24,2,0,0,0,0,1,M,Manucho,Goncalves
1305,Anaitz Arbilla,63,RCDE,Defender,25,1,1,8,0,10,0,8,3,1,0,0,40,20,0,A,Anaitz,Arbilla
1306,Juan Carlos,63,,Goalkeeper,32,0,0,7,0,3,0,6,0,1,1,0,56,31,0,J,Juan,Carlos
1307,Diego Castro,62,,Forward,25,3,0,0,0,8,0,11,7,12,0,1,0,0,0,D,Diego,Castro
1308,Jose Ze Castro,62,RAVA,Defender,28,0,3,8,0,6,0,0,0,4,0,0,49,29,0,J,Jose,Castro
1309,Denis Suarez,62,SEVI,Midfielder,15,2,3,0,0,2,0,23,15,7,0,0,0,0,0,D,Denis,Suarez
1310,Grzegorz Krychowiak,61,SEVI,Midfielder,32,2,1,0,0,14,1,1,1,3,0,0,0,0,0,G,Grzegorz,Krychowiak
1311,Tito,60,RAVA,Defender,31,0,2,9,1,11,0,2,2,1,0,0,60,37,0,T,Tito,Tito
1312,Diego Marino,60,,Goalkeeper,32,0,0,5,0,1,0,6,0,0,1,0,55,28,0,D,Diego,Marino
1313,Esteban Granero,60,RESO,Midfielder,29,0,2,0,0,8,0,6,4,9,0,0,0,0,0,E,Esteban,Granero
1314,Borja Garcia,59,,Midfielder,22,1,3,0,0,2,1,8,6,10,0,0,0,0,0,B,Borja,Garcia
1315,Oriol Riera,59,RCDC,Forward,18,4,1,0,0,3,0,3,3,9,0,0,0,0,0,O,Oriol,Riera
1316,Gabriel Paulista,59,VIAL,Defender,18,0,0,8,0,4,0,1,1,1,0,0,17,6,0,G,Gabriel,Paulista
1317,Manu Trigueros,59,VIAL,Forward,29,1,1,0,0,9,0,8,5,10,0,0,0,0,1,M,Manu,Trigueros
1318,Alejandro Bergantinos,59,RCDC,Midfielder,29,0,1,0,0,5,0,9,3,2,0,0,0,0,0,A,Alejandro,Bergantinos
1319,Federico Piovaccari,58,,Forward,17,5,0,0,0,6,2,13,11,8,0,0,0,0,0,F,Federico,Piovaccari
1320,Saul Niguez,58,,Midfielder,9,4,2,0,0,1,0,20,15,5,0,0,0,0,0,S,Saul,Niguez
1321,Javi Lara,58,,Midfielder,16,1,3,0,0,3,0,22,15,4,0,0,0,0,0,J,Javi,Lara
1322,Geronimo Rulli,57,RESO,Goalkeeper,22,0,0,6,0,5,0,6,0,0,1,0,27,11,0,G,Geronimo,Rulli
